id,name,address
1,"Bełchatów, Kościuszki","Kościuszki 12"
2,"Białystok PKS","Bohaterów Monte Cassino 10"
3,"Bielsko-Biała, Nowe Miasto","Legionów 26/28"
4,"Bolesławiec, Stary Dworzec","Hutnicza 7a"
5,"Bydgoszcz, Zielone Arkady","aleja Wojska Polskiego 1"
6,"Bytom, Szombierki","Karpacka 1a"
7,"Ciechanów, CH Mrówka","Niechodzka 5"
8,"Czechowice-Dziedzice, Kablownia","Legionów 83"
9,"Czeladź, Grodziecka","Grodziecka 2b"
10,"Częstochowa, Wrzosowiak","Jagiellońska 1"
11,"Elbląg, Grottgera","Artura Grottgera 53"
12,"Gdańsk, Oliwa","Aleja Grunwaldzka 309"
13,"Gdańsk, Orunia","Kurierów Armii Krajowej 15"
14,"Gdańsk, Osowa","Spacerowa 65"
15,"Gdynia, Dąbrowa","Rdestowa 160"
16,"Gliwice, Kolberga","Kolberga 41"
17,"Gliwice, Politechnika","Łużycka 16"
18,"Głogów, Glogovia","Marszałka Józefa Piłsudskiego 19"
19,"Głogów, Gwiaździsta","Gwiaździsta 1A"
20,"Głogów, Multibox","Generała Władysława Sikorskiego 17"
21,"Gubin, Hosso","Ułanów Karpackich 3"
22,"Jastrzębie-Zdrój, Turystyczna","Turystyczna 5F I G"
23,"Jelenia Góra, Pasaż Grodzki","Grodzka 7"
24,"Jelenia Góra, Zabobrze","Sygietyńskiego 2"
25,"Kalisz, Galeria Tęcza","3-Go Maja 1"
26,"Katowice, 4 Wieże","Chorzowska 212"
27,"Katowice, Galeria Manhattan","Szewska 11"
28,"Katowice, Korfantego","al. Wojciecha Korfantego 138"
29,"Katowice, Roździeńskiego","Roździeńskiego 14"
30,"Katowice, Wodospady","Wodospady 4"
31,"Katowice, Wrocławska","Wrocławska 54"
32,"Katowice, Załęże","Bocheńskiego 69"
33,"Kraków DH Wanda","Broniewskiego 1"
34,"Kraków, Aleja Pokoju","Aleja Pokoju 16"
35,"Kraków, Aleksandry","Aleksandry 11"
36,"Kraków, Azbud","Aleja Pokoju 78"
37,"Kraków, Bratysławska","Bratysławska 4"
38,"Kraków, Klimeckiego","Klimeckiego 1"
39,"Kraków, Reymonta","Reymonta 22A"
40,"Kraków, Solvay Park","Zakopiańska 105"
41,"Kraków, Stawowa","Stawowa 61"
42,"Kraków, Zachodnia","Zachodnia 27"
43,"Legionowo, Park","Jagiellońska 24"
44,"Legnica, Galeria Ferio","Chojnowska 41"
45,"Legnica, Marsa","Marsa 30"
46,"Lębork, Osiedle Sportowe","Olimpijczyków 1"
47,"Lubin, Cuprum Arena","Generała Władysława Sikorskiego 20"
48,"Lubin, Indomo","Zwierzyckiego 3"
49,"Lubin, Leszczynowa","Leszczynowa 27C"
50,"Łomianki, Warszawska","Warszawska 264"
